cnt_out  term_cnt    time
     00         x       0
     00         1    5000
     00         1   10000
     01         0   15000
     02         0   20000
     03         0   25000
     04         0   30000
     00         1   35000
     00         1   40000
     02         0   45000
     02         0   50000
     01         0   55000
     00         1   60000
     ff         0   65000
     fe         0   70000
     fd         0   75000
     00         1   80000
     00         1   85000
     00         1   90000
     00         1   95000
     00         1   100000
